=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_CONVERSION_PROB;0.2;167.0;326.0;171.0;7.735384;1.5470772;330.0
1;1.0;HIGHEST_CONVERSION_PROB;0.2;161.0;298.0;173.0;5.90892;1.1817839;310.0
2;1.0;HIGHEST_CONVERSION_PROB;0.2;167.0;312.0;176.0;8.388923;1.6777843;321.0
3;1.0;HIGHEST_CONVERSION_PROB;0.2;168.0;317.0;165.0;8.117452;1.6234903;314.0
4;1.0;HIGHEST_CONVERSION_PROB;0.2;182.0;376.0;159.0;7.2789702;1.455794;353.0
5;1.0;HIGHEST_CONVERSION_PROB;0.2;167.0;347.0;166.0;7.314173;1.462835;346.0
6;1.0;HIGHEST_CONVERSION_PROB;0.2;163.0;327.0;164.0;7.355448;1.4710896;328.0
7;1.0;HIGHEST_CONVERSION_PROB;0.2;184.0;332.0;166.0;7.0987144;1.4197426;314.0
8;1.0;HIGHEST_CONVERSION_PROB;0.2;161.0;313.0;165.0;6.3432846;1.2686568;317.0
9;1.0;HIGHEST_CONVERSION_PROB;0.2;171.0;337.0;190.0;7.0026913;1.400538;356.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_CONVERSION_PROB;0.2;167.0;326.0;171.0;7.735384;1.5470772;330.0
1;1.0;HIGHEST_CONVERSION_PROB;0.2;158.0;294.0;170.0;5.858946;1.171789;306.0
2;1.0;HIGHEST_CONVERSION_PROB;0.2;164.0;308.0;172.0;8.324407;1.6648811;316.0
3;1.0;HIGHEST_CONVERSION_PROB;0.2;166.0;317.0;160.0;8.078398;1.6156796;311.0
4;1.0;HIGHEST_CONVERSION_PROB;0.2;182.0;376.0;159.0;7.2789702;1.455794;353.0
5;1.0;HIGHEST_CONVERSION_PROB;0.2;167.0;347.0;166.0;7.314173;1.462835;346.0
6;1.0;HIGHEST_CONVERSION_PROB;0.2;159.0;324.0;161.0;7.1082783;1.4216557;326.0
7;1.0;HIGHEST_CONVERSION_PROB;0.2;182.0;330.0;162.0;7.0852566;1.417051;310.0
8;1.0;HIGHEST_CONVERSION_PROB;0.2;161.0;313.0;165.0;6.3432846;1.2686568;317.0
9;1.0;HIGHEST_CONVERSION_PROB;0.2;168.0;333.0;188.0;6.824182;1.3648361;353.0

0;0;HIGHEST_CONVERSION_PROB;[];[]
1;1;HIGHEST_CONVERSION_PROB;[(231044006,0.4917),(232029600,0.4648),(231042057,0.5857),(231039854,0.5290),(232029115,0.5573),(232027685,0.5696),(242108281,0.5477),(232028435,0.4184),(231044838,0.4889),(400010993,0.3943),(232028529,0.5743),(231041648,0.4845),(231043704,0.5401),(232028707,0.4742),(231042315,0.4597),(232027867,0.4697),(232031423,0.4127),(231042338,0.4105),(232030962,0.5267),(231041573,0.4893),(297102602,0.5310),(232031258,0.5649),(242003329,0.4562),(232028004,0.4822),(232030880,0.5570),(232029945,0.5805),(232030825,0.5826),(231040105,0.4307),(231045436,0.5615),(232031330,0.4662),(231041659,0.4648),(232029059,0.4453),(231045095,0.5403),(231042027,0.5052),(232027541,0.4140),(232028314,0.4831),(231042166,0.5035),(232029809,0.4759),(231040264,0.4989),(232027476,0.5290),(231041313,0.4633),(232031018,0.4612),(231043640,0.4927),(231045911,0.5110),(231045510,0.4526),(232028662,0.4668),(231045071,0.5607),(231041693,0.5089),(231045339,0.5451),(232028384,0.4164)];[(231044006,0.4917),(232029600,0.4648),(231042057,0.5857),(231039854,0.5290),(232029115,0.5573)]
1;2;HIGHEST_CONVERSION_PROB;[];[]
1;3;HIGHEST_CONVERSION_PROB;[(232030826,0.4184),(231044820,0.4868),(232028883,0.5160),(231042199,0.5402),(231040163,0.4100),(231041501,0.5346),(232030431,0.4911),(231040015,0.5397),(232032230,0.4779),(232027600,0.4942),(232030763,0.5630),(231041966,0.5170),(232029765,0.4439),(231041535,0.5801),(231043653,0.5786),(231041859,0.4525),(235813383,0.5852),(231042892,0.4063),(232031207,0.4717),(231042785,0.5676),(231040840,0.4618),(231041430,0.4124),(231042300,0.5347),(232029780,0.5399),(231040526,0.4616),(231039863,0.4356),(231040727,0.4737),(231039854,0.4762),(231045434,0.5249),(231045356,0.5164),(231040646,0.4861),(232028196,0.4667),(232030504,0.4631),(242003806,0.5789),(242108635,0.4387),(231040736,0.4329),(231044441,0.5477),(232031311,0.3926),(231044538,0.4990),(231044420,0.4381),(232031540,0.4471),(231040869,0.5549),(231042278,0.5532),(231045020,0.5312),(400006329,0.5745),(231042411,0.4393),(231042810,0.4161),(231041393,0.4914),(231041107,0.3966),(231043680,0.4405)];[(232030826,0.4184),(231044820,0.4868),(232028883,0.5160),(231042199,0.5402),(231040163,0.4100)]
1;4;HIGHEST_CONVERSION_PROB;[];[]
1;5;HIGHEST_CONVERSION_PROB;[(232028170,0.4730),(232032701,0.5408),(231041630,0.5496),(231045361,0.5271),(231043864,0.4603),(232030748,0.4106),(231041290,0.5425),(232028003,0.5314),(231040766,0.5514),(231042456,0.4709),(232028453,0.4178),(231040563,0.4857),(242002966,0.4245),(231039961,0.5437),(231041443,0.5170),(231042871,0.4498),(232029969,0.4487),(232028495,0.4749),(231045232,0.5529),(231039671,0.4332),(231040653,0.5692),(231041069,0.4556),(242108899,0.4790),(232027963,0.4762),(231040964,0.4076),(244068099,0.4160),(232027975,0.4932),(232031465,0.4909),(231045283,0.4868),(232029847,0.5173),(231039654,0.4962),(232027702,0.5239),(231040511,0.4490),(232029005,0.5021),(232031848,0.4989),(231044951,0.4612),(231042643,0.4778),(232028584,0.4200),(244068978,0.4161),(232029371,0.4119),(231042637,0.5065),(232028683,0.4410),(232028964,0.4025),(231045020,0.4814),(244075445,0.4482),(400000890,0.5195),(235813309,0.5803),(232029194,0.4032),(231040010,0.3936)];[(232028170,0.5412),(232032701,0.5408),(231041630,0.5496),(231045361,0.5271),(231043864,0.4603)]
1;6;HIGHEST_CONVERSION_PROB;[(232027996,0.5359),(232028379,0.5068),(231040072,0.5740),(231040763,0.4893),(232029929,0.5121),(232027908,0.4640),(232030571,0.3944),(231040587,0.4204),(232028251,0.4840),(235813272,0.4073),(232031832,0.5237),(231040341,0.5840),(232028123,0.4990),(286014997,0.4136),(231043172,0.5147),(232028377,0.4628),(231043022,0.5673),(231039940,0.5556),(245018982,0.5246),(232028404,0.4634),(231044309,0.4348),(242002994,0.4226),(231040780,0.5390),(232027578,0.4225),(232031096,0.4011),(231041643,0.4180),(231044160,0.4592),(231042369,0.4197),(232027591,0.4039),(232029438,0.4973),(232030557,0.5829),(232028895,0.5541),(232028068,0.4244),(232030232,0.3946),(231042012,0.4928),(231043603,0.5435),(232032194,0.5499),(232030943,0.5715),(232027886,0.4055),(231040245,0.4586),(232031968,0.5514),(231040968,0.5761),(232029485,0.5381),(232031523,0.4154),(231039641,0.5028),(231043228,0.5672),(231039820,0.4306),(231041890,0.5083),(231040254,0.4265),(231043956,0.4930)];[(232027996,0.5359),(232028379,0.5068),(231040072,0.5740),(231040763,0.4893),(232029929,0.5121)]
1;7;HIGHEST_CONVERSION_PROB;[(242108516,0.5589),(231042403,0.5166),(245018982,0.4052),(231043531,0.3939),(232027776,0.5156),(231041544,0.4504),(231042468,0.5770),(232031228,0.4003),(231044290,0.5107),(297102715,0.5719),(231044274,0.5773),(231043178,0.4182),(232029847,0.5693),(231042981,0.4520),(231041327,0.5539),(232030322,0.5816),(232028572,0.3937),(232031609,0.5016),(232030132,0.5745),(232030006,0.4756),(231042905,0.4747),(231043987,0.4449),(232029059,0.4525),(232029048,0.4000),(232030535,0.5416),(231041135,0.5612),(232028178,0.4429),(232032159,0.5431),(232027499,0.3964),(232028875,0.4558),(231042651,0.4483),(231040413,0.5765),(231041411,0.5812),(231045375,0.5086),(231043986,0.5396),(232029749,0.4915),(231040001,0.5442),(231042961,0.4426),(232031279,0.5467),(232031021,0.4915),(232031447,0.4454),(231041357,0.4627),(232031755,0.5686),(232031404,0.5509),(281000666,0.5791),(231041642,0.5323),(231040316,0.4726),(231040791,0.5645),(232028810,0.5797),(232028621,0.4112)];[(242108516,0.5589),(231042403,0.5166),(245018982,0.4052),(231043531,0.3939),(232027776,0.5156)]
1;8;HIGHEST_CONVERSION_PROB;[(232032451,0.5519),(231039669,0.4254),(232027861,0.4360),(232031747,0.4962),(232030154,0.5091),(244075558,0.4697),(232027711,0.5848),(231039707,0.5398),(261001499,0.4012),(244074912,0.4300),(231040241,0.5815),(231044418,0.5446),(231043919,0.5078),(232031210,0.4573),(400006691,0.4868),(231040609,0.5678),(242108614,0.4025),(231040367,0.4514),(231040037,0.5239),(232029919,0.4722),(231045615,0.4377),(232029958,0.5579),(232030581,0.4677),(207009835,0.4588),(248016823,0.4603),(231041257,0.4882),(231042076,0.5020),(232031996,0.5551),(231040456,0.5208),(231041636,0.4422),(231042682,0.4186),(400003129,0.5600),(231044205,0.4998),(232031566,0.4097),(231041161,0.5148),(242003200,0.3992),(231043793,0.4800),(242108857,0.4564),(231040255,0.4070),(232029680,0.4443),(231040180,0.5203),(231045264,0.4724),(232031345,0.4631),(232031981,0.4241),(231040415,0.4480),(231039695,0.5595),(231041889,0.3910),(231044002,0.5460),(231042617,0.4767),(231041918,0.5057)];[(232032451,0.5519),(231039669,0.4254),(232027861,0.4360),(232031747,0.4962),(232030154,0.5091)]
1;9;HIGHEST_CONVERSION_PROB;[(231042626,0.5135),(231040789,0.5607),(232031717,0.5169),(232031270,0.3922),(231040284,0.4608),(231040791,0.3959),(232032618,0.5702),(231042847,0.5694),(232027795,0.5190),(231044496,0.4829),(231041036,0.4828),(232028360,0.5836),(231040258,0.3998),(232028413,0.4851),(244074872,0.4005),(231040156,0.5764),(291036715,0.5232),(232032552,0.5568),(232032009,0.4153),(231041768,0.5829),(231041210,0.3936),(232030647,0.4538),(231045477,0.4594),(231039877,0.4346),(232029979,0.5578),(232029060,0.5266),(244075246,0.5125),(242003228,0.4099),(231043852,0.5768),(232028620,0.5021),(231045184,0.3962),(231045361,0.4922),(232028298,0.5253),(232028645,0.4454),(231041944,0.5719),(232029568,0.4450),(231044817,0.4115),(244075791,0.5511),(232027607,0.3999),(231043746,0.4589),(232031063,0.5566),(248016054,0.5695),(232029036,0.4887),(231042553,0.5158),(232027814,0.4724),(232027712,0.4631),(231043529,0.4672),(231041453,0.5304),(231045232,0.4893),(231040384,0.4710)];[(231042626,0.5135),(231040789,0.5607),(232031717,0.5169),(232031270,0.3922),(231040284,0.4608)]
2;0;HIGHEST_CONVERSION_PROB;[(248015808,0.4729),(232027919,0.4565),(231042252,0.5407),(400008813,0.4371),(232030133,0.3933),(231043427,0.4784),(232028611,0.4176),(231041469,0.5793),(232027651,0.4894),(231043858,0.5185),(231041334,0.5664),(232028302,0.5474),(231044201,0.4170),(231042039,0.4180),(239015976,0.5569),(232031874,0.5551),(232029533,0.4630),(232028180,0.4155),(232029288,0.4945),(232030695,0.4160),(231040419,0.5327),(232029313,0.4318),(231043391,0.5437),(231040854,0.4934),(231040603,0.5767),(231040921,0.5073),(291025718,0.4794),(231041027,0.5418),(231041579,0.4122),(231042456,0.4057),(231040930,0.4230),(232028407,0.5212),(232027930,0.5754),(232030517,0.5541),(232030418,0.4416),(232030929,0.4617),(281000682,0.4686),(231042639,0.4845),(232029470,0.4248),(231040043,0.3936),(231040853,0.5028),(231045805,0.5790),(231041829,0.5756),(232028479,0.4990),(231043029,0.4132),(232029183,0.5388),(231043991,0.5060),(232029091,0.4074),(231041957,0.5813),(231042487,0.5208)];[(248015808,0.4729),(232027919,0.4565),(231042252,0.5407),(400008813,0.4371),(232030133,0.3933)]
2;1;HIGHEST_CONVERSION_PROB;[(232029600,0.4636),(231039854,0.4269),(232029115,0.5158),(231041591,0.4395),(232027685,0.4960),(242108281,0.4853),(232028435,0.5721),(231044838,0.5547),(400010993,0.4376),(232028529,0.5096),(231041648,0.4935),(231043704,0.5782),(231042315,0.4231),(232027867,0.4835),(232031423,0.3973),(231042338,0.4325),(232030962,0.4921),(231041573,0.4977),(297102602,0.5526),(232028895,0.4417),(232031258,0.4999),(242003329,0.5119),(232028004,0.4672),(232030880,0.4707),(232029945,0.5785),(232030825,0.4316),(231040105,0.4248),(231045436,0.5417),(232031330,0.4085),(231041659,0.4195),(232029059,0.5115),(231045095,0.4150),(231042027,0.3939),(232027541,0.5109),(232028314,0.4417),(231042166,0.4096),(232027632,0.5204),(232029809,0.4428),(231040264,0.4918),(232027476,0.4870),(231041313,0.5134),(232031018,0.5667),(231043640,0.4446),(231045911,0.4501),(231045510,0.5241),(232028662,0.4942),(231045071,0.4043),(231041693,0.5068),(231045339,0.4949),(232028384,0.4643)];[(232029600,0.4636),(231039854,0.4269),(232029115,0.5158),(231041591,0.4395),(232027685,0.4960)]
2;2;HIGHEST_CONVERSION_PROB;[(232029313,0.4474),(232031981,0.4360),(232031924,0.5708),(232027660,0.5488),(231044167,0.4964),(232032278,0.5265),(232029765,0.4999),(235813386,0.4328),(231041823,0.4980),(231040826,0.5399),(231044615,0.5363),(232027572,0.5276),(231040220,0.4150),(231040314,0.4009),(232030967,0.4200),(232029116,0.4530),(231041785,0.5598),(231042033,0.5002),(232032190,0.4583),(231040326,0.5701),(231041625,0.5274),(231043518,0.5716),(231039944,0.5537),(231042198,0.4562),(232030722,0.4518),(231043985,0.4766),(232027550,0.5034),(231044753,0.4015),(231041331,0.5554),(242108757,0.5259),(232028637,0.5820),(232028572,0.4965),(231041062,0.4289),(400006691,0.5438),(231040173,0.5842),(232027704,0.5833),(232027921,0.5060),(232028055,0.5606),(232028322,0.4649),(232032701,0.5461),(231043993,0.5827),(231040666,0.5673),(231044659,0.5499),(231043910,0.5455),(231040251,0.4817),(231043750,0.5591),(231041801,0.5009),(231041594,0.5149),(231041231,0.4961),(231043480,0.4097)];[(232029313,0.4474),(232031981,0.4360),(232031924,0.5708),(232027660,0.5488),(231044167,0.4964)]
2;3;HIGHEST_CONVERSION_PROB;[(231042199,0.4684),(231041501,0.4333),(232030431,0.4688),(232027583,0.5444),(231040015,0.5028),(235814031,0.4320),(232028477,0.4026),(232027600,0.5188),(232030763,0.5756),(231041966,0.4167),(231041535,0.5223),(231043653,0.5576),(231041859,0.4721),(235813383,0.4479),(232032152,0.4196),(231042892,0.4170),(232031207,0.4707),(231040840,0.4287),(232028910,0.5319),(231041430,0.4155),(231042300,0.4457),(232029780,0.5839),(231040790,0.4988),(231045405,0.4776),(231040526,0.4780),(231039863,0.4717),(231040727,0.5644),(231039854,0.4546),(231045434,0.4737),(231045356,0.4207),(231040646,0.4300),(232028196,0.4954),(231040191,0.4138),(232030504,0.4424),(242003806,0.5240),(242108635,0.3928),(231040736,0.4954),(231042624,0.4851),(232031311,0.4693),(231044538,0.5309),(231044420,0.4111),(232031540,0.4476),(231040869,0.4116),(231042278,0.5785),(231045020,0.5182),(400006329,0.4438),(231042411,0.4880),(231041393,0.4352),(231041107,0.4073),(231043680,0.4589)];[(231042199,0.4684),(231041501,0.4333),(232030431,0.4688),(232027583,0.5444),(231040015,0.5028)]
2;4;HIGHEST_CONVERSION_PROB;[(242108138,0.4110),(232027913,0.4615),(231042224,0.5249),(232029159,0.4851),(239016078,0.4514),(231040032,0.5047),(231043850,0.4219),(231043155,0.4353),(232031063,0.4387),(231045095,0.4598),(231040139,0.5374),(232027487,0.4794),(231043359,0.4458),(261001886,0.4242),(231039859,0.5329),(232028449,0.4881),(231039657,0.5174),(231039950,0.4559),(242107788,0.5459),(242003287,0.4417),(231042030,0.5329),(232030962,0.5242),(231040268,0.4995),(232028113,0.4427),(232028148,0.5716),(231040010,0.4750),(231045796,0.4569),(232031010,0.5177),(231040279,0.4946),(231044201,0.4016),(235813450,0.3947),(231040764,0.4325),(232031358,0.5473),(231040105,0.4413),(232031280,0.4488),(231044333,0.5225),(236002425,0.5023),(231040868,0.5381),(231041394,0.4207),(231044138,0.5758),(400008815,0.4745),(232028947,0.4232),(232027475,0.4952),(400010549,0.5711),(232027832,0.4826),(231039639,0.4024),(231039894,0.4729),(231042510,0.5449),(231040255,0.5012),(231042364,0.4944)];[(242108138,0.4110),(232027913,0.4615),(231042224,0.5249),(232029159,0.4851),(239016078,0.4514)]
2;5;HIGHEST_CONVERSION_PROB;[(232031957,0.5269),(232032701,0.4794),(231043864,0.5138),(231042591,0.4927),(231041290,0.5682),(232028003,0.4610),(231040766,0.4630),(231042456,0.5235),(232028453,0.5773),(231040563,0.4827),(242002966,0.4461),(231039961,0.5529),(231042871,0.5237),(232029969,0.4624),(232028495,0.4244),(231045232,0.5652),(231039671,0.5273),(231040653,0.4070),(242108899,0.4214),(232027963,0.5074),(231040696,0.5660),(231040964,0.4650),(231041734,0.5686),(244068099,0.5152),(232027975,0.4481),(232028358,0.4195),(232031465,0.4075),(231045283,0.4928),(232029847,0.4380),(231039654,0.4439),(231040339,0.5494),(231040511,0.4478),(232029005,0.5376),(232031848,0.5277),(231044951,0.4286),(231042643,0.4648),(232028584,0.5261),(244068978,0.4744),(232029371,0.5358),(231042637,0.5096),(232028683,0.4344),(231045020,0.5366),(231043703,0.4235),(244075445,0.4639),(242109259,0.5815),(235813309,0.4849),(232029194,0.5578),(231040010,0.4409),(232031729,0.4052),(232031206,0.4850)];[(232031957,0.5269),(232032701,0.4794),(231043864,0.5138),(231042591,0.4927),(231041290,0.5682)]
2;6;HIGHEST_CONVERSION_PROB;[(232027996,0.5359),(232028379,0.5068),(231040072,0.5740),(231040763,0.4893),(232029929,0.5121),(232027908,0.4640),(232030571,0.3944),(231040587,0.4204),(232028251,0.4840),(235813272,0.4073),(232031832,0.5237),(231040341,0.5840),(232028123,0.4990),(286014997,0.4136),(231043172,0.5147),(232028377,0.4628),(231043022,0.5673),(231039940,0.5556),(245018982,0.5246),(232028404,0.4634),(231044309,0.4348),(242002994,0.4226),(231040780,0.5390),(232027578,0.4225),(232031096,0.4011),(231041643,0.4180),(231044160,0.4592),(231042369,0.4197),(232027591,0.4039),(232029438,0.4973),(232030557,0.5829),(232028895,0.5541),(232028068,0.4244),(232030232,0.3946),(231042012,0.4928),(231043603,0.5435),(232032194,0.5499),(232030943,0.5715),(232027886,0.4055),(231040245,0.4586),(232031968,0.5514),(231040968,0.5761),(232029485,0.5381),(232031523,0.4154),(231039641,0.5028),(231043228,0.5672),(231039820,0.4306),(231041890,0.5083),(231040254,0.4265),(231043956,0.4930)];[(232027996,0.5359),(232028379,0.5068),(231040072,0.5740),(231040763,0.4893),(232029929,0.5121)]
2;7;HIGHEST_CONVERSION_PROB;[(231042403,0.4954),(231043531,0.4691),(232027776,0.5425),(231041544,0.5666),(231042468,0.4783),(232031228,0.5516),(231044290,0.4535),(297102715,0.5845),(231044274,0.4324),(231043178,0.5768),(232029847,0.5010),(231042981,0.3949),(232028711,0.5837),(231041327,0.4559),(231044332,0.3933),(232030322,0.4635),(232028572,0.5022),(232029467,0.4900),(232031609,0.4993),(232030132,0.4446),(232030006,0.5708),(231042905,0.4365),(232029059,0.4267),(232029048,0.5502),(232028904,0.5245),(231042743,0.5274),(231040160,0.4860),(232030535,0.4506),(231041135,0.4941),(232028178,0.4467),(232032159,0.5466),(232027499,0.5121),(232028875,0.4240),(231042651,0.4863),(231045375,0.4515),(231043986,0.4650),(232029749,0.4605),(231042961,0.5121),(232031279,0.4076),(232031021,0.5613),(232031447,0.5574),(231041357,0.4176),(232031755,0.5705),(232031404,0.4714),(281000666,0.4121),(231041642,0.5181),(231040791,0.4160),(232028810,0.4458),(232028621,0.4736),(231041604,0.5720)];[(231042403,0.4954),(231043531,0.4691),(232027776,0.5425),(231041544,0.5666),(231042468,0.4783)]
2;8;HIGHEST_CONVERSION_PROB;[(232032451,0.4849),(232030227,0.4155),(232027861,0.5028),(244075558,0.5553),(232027711,0.5706),(231041453,0.5077),(231039707,0.5408),(261001499,0.4476),(244074912,0.5530),(231044418,0.4297),(231043919,0.5419),(232031210,0.5332),(232029211,0.4807),(400006691,0.5601),(231040609,0.5361),(242108614,0.5838),(231040367,0.5482),(231040037,0.4693),(232029919,0.4276),(231045615,0.5528),(232029958,0.4117),(231042022,0.5256),(232030581,0.3948),(232028856,0.4959),(207009835,0.4930),(248016823,0.3931),(231041257,0.5609),(231042076,0.5340),(232031996,0.3971),(231041636,0.4828),(400003129,0.5320),(231044205,0.5131),(232031566,0.5714),(231041161,0.4130),(242003200,0.4764),(231043793,0.5798),(242108857,0.4297),(232029680,0.4735),(231040180,0.4560),(231045264,0.5035),(232028684,0.5569),(232031345,0.4265),(232031981,0.4498),(232030559,0.3994),(231040415,0.5373),(231039695,0.4388),(231041889,0.5661),(231044002,0.4890),(231042617,0.5693),(231041918,0.4252)];[(232032451,0.4849),(232030227,0.4155),(232027861,0.5028),(244075558,0.5553),(232027711,0.5706)]
2;9;HIGHEST_CONVERSION_PROB;[(231042626,0.5135),(231040789,0.5607),(232031717,0.5169),(232031270,0.3922),(231040284,0.4608),(231040791,0.3959),(232032618,0.5702),(231042847,0.5694),(232027795,0.5190),(231044496,0.4829),(231041036,0.4828),(232028360,0.5836),(231040258,0.3998),(232028413,0.4851),(244074872,0.4005),(231040156,0.5764),(291036715,0.5232),(232032552,0.5568),(232032009,0.4153),(231041768,0.5829),(231041210,0.3936),(232030647,0.4538),(231045477,0.4594),(231039877,0.4346),(232029979,0.5578),(232029060,0.5266),(244075246,0.5125),(242003228,0.4099),(231043852,0.5768),(232028620,0.5021),(231045184,0.3962),(231045361,0.4922),(232028298,0.5253),(232028645,0.4454),(231041944,0.5719),(232029568,0.4450),(231044817,0.4115),(244075791,0.5511),(232027607,0.3999),(231043746,0.4589),(232031063,0.5566),(248016054,0.5695),(232029036,0.4887),(231042553,0.5158),(232027814,0.4724),(232027712,0.4631),(231043529,0.4672),(231041453,0.5304),(231045232,0.4893),(231040384,0.4710)];[(231042626,0.5135),(231040789,0.5607),(232031717,0.5169),(232031270,0.3922),(231040284,0.4608)]
3;0;HIGHEST_CONVERSION_PROB;[(248015808,0.5238),(231042252,0.5826),(400008813,0.4405),(231043427,0.4496),(232028611,0.4673),(232028429,0.5365),(231041469,0.4868),(232027651,0.5303),(231043858,0.5818),(231041334,0.4295),(232028302,0.5407),(231044201,0.4109),(231042039,0.4325),(239015976,0.4164),(232031874,0.4874),(232029533,0.4692),(232028180,0.4106),(232029288,0.4280),(232030695,0.4496),(231040419,0.4291),(232029313,0.5091),(231043391,0.4400),(231040854,0.4741),(231040603,0.4794),(231040921,0.5837),(231041027,0.4343),(232028057,0.4949),(231041579,0.4755),(231042456,0.5526),(231040930,0.4076),(232028407,0.5209),(232027930,0.5594),(232030517,0.4176),(232030418,0.5310),(232030929,0.5174),(232028001,0.3970),(281000682,0.5041),(231042639,0.5477),(232029470,0.3928),(231040043,0.4810),(265001046,0.5544),(231041829,0.4336),(232028479,0.4107),(231043029,0.4850),(231041100,0.5431),(232029183,0.4579),(231043991,0.5408),(232029091,0.5356),(231041957,0.4006),(231042487,0.5380)];[(248015808,0.5238),(231042252,0.5826),(400008813,0.4405),(231043427,0.4496),(232028611,0.4673)]
