=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
2;5;HIGHEST_CONVERSION_PROB;[(232030277,0.3958),(232031256,0.5761),(232030438,0.5172),(232030939,0.5797),(231039835,0.5744),(231040742,0.4055),(231043490,0.5320),(232031544,0.4539),(232029344,0.5132),(231042718,0.5211),(231041576,0.5002),(232029308,0.4363),(232028880,0.4052),(232031874,0.5717),(231042484,0.4834),(231041793,0.5527),(232029766,0.4889),(231045783,0.4858),(231044516,0.5732),(232029911,0.5431),(231041243,0.4195),(232031196,0.4415),(231041596,0.4846),(231044300,0.4426),(231043944,0.4004),(231043900,0.4002),(232030822,0.4336),(232027918,0.4605),(231042814,0.5273),(232029360,0.5826),(231042103,0.4769),(235813456,0.4908),(232031833,0.5635),(231041300,0.4610),(231040441,0.5290),(231040709,0.4956),(231041377,0.5702),(231043045,0.5036),(231045174,0.5662),(232030132,0.4490),(232028603,0.5114),(232029092,0.5331),(232029576,0.4111),(231042455,0.4220),(231040613,0.5659),(232028572,0.4179),(231040522,0.5840),(232028077,0.4080),(231040749,0.4385),(231040850,0.5009)];[(232030277,0.3958),(232031256,0.5761),(232030438,0.5172),(232030939,0.5797),(231039835,0.5744)]
2;6;HIGHEST_CONVERSION_PROB;[(232027977,0.5356),(232028815,0.4141),(231044394,0.4264),(242003329,0.4134),(232029527,0.5840),(232028603,0.4890),(232030254,0.4378),(232031063,0.5373),(231042267,0.5760),(232028199,0.4340),(231040586,0.4172),(232027583,0.4051),(232027795,0.5216),(231039790,0.4078),(232032009,0.5828),(231044676,0.4612),(232027943,0.5608),(231041035,0.5607),(231041193,0.4250),(231041116,0.4429),(232027470,0.5684),(231045125,0.4113),(231041086,0.4566),(232031873,0.3946),(232029707,0.4052),(231043396,0.4882),(231041529,0.4183),(231041637,0.4564),(232028850,0.5255),(231043458,0.4600),(231045510,0.4196),(232027535,0.4582),(231043967,0.4100),(232027592,0.4867),(231042573,0.4390),(231041563,0.4376),(242002907,0.4998),(231044764,0.5690),(232031901,0.5523),(231042081,0.4659),(232030010,0.3981),(242108394,0.5466),(232031335,0.5668),(231039814,0.5694),(231041943,0.5266),(231041988,0.3972),(232031734,0.4938),(231041573,0.5129),(232030049,0.5587),(231039676,0.4198)];[(232027977,0.5356),(232028815,0.4141),(231044394,0.4264),(242003329,0.4134),(232029527,0.5840)]
2;7;HIGHEST_CONVERSION_PROB;[(232029663,0.5141),(232032618,0.4963),(242108724,0.4729),(232027789,0.5625),(231043068,0.4428),(232027550,0.4735),(232032329,0.4311),(231041165,0.4980),(232029298,0.4143),(232029202,0.5219),(232027792,0.5693),(231041033,0.4785),(232029951,0.5384),(232030438,0.4425),(231039920,0.4984),(232028640,0.3970),(231041851,0.4775),(232028645,0.5524),(231039707,0.4178),(232031747,0.4798),(232029018,0.5347),(232030151,0.5461),(231044635,0.4808),(232030541,0.3990),(231043061,0.4328),(232029075,0.4482),(232028873,0.3916),(231045513,0.4428),(231040245,0.5193),(232027691,0.5764),(232029654,0.5240),(231040159,0.5367),(231040964,0.4960),(232027492,0.4961),(231040678,0.4856),(231043130,0.5121),(231044334,0.5475),(232030306,0.4287),(231042774,0.4384),(231042075,0.5268),(231040102,0.5622),(232032252,0.5059),(231039736,0.5850),(231043119,0.4194),(239016078,0.4648),(232027642,0.4981),(231040979,0.3914),(231043876,0.4552),(231042204,0.5587),(231043958,0.4527)];[(232029663,0.5141),(232032618,0.4963),(242108724,0.4729),(232027789,0.5625),(231043068,0.4428)]
2;8;HIGHEST_CONVERSION_PROB;[(232030841,0.5853),(231042988,0.5503),(231041441,0.5823),(232028284,0.5094),(231040345,0.5059),(232031255,0.4264),(231041869,0.4653),(232028227,0.4835),(232028600,0.4152),(232027552,0.5436),(231044608,0.5654),(231041598,0.4542),(232030652,0.4062),(231043041,0.5334),(232029300,0.4617),(231041495,0.5431),(232030120,0.4092),(297102770,0.5661),(231039790,0.4188),(281000668,0.5243),(231044306,0.4503),(231041592,0.4915),(231044940,0.5231),(232029830,0.4476),(231044109,0.5078),(231045835,0.3972),(261001943,0.4747),(232029795,0.5838),(231043831,0.5127),(231040702,0.5546),(232028389,0.5258),(231043968,0.4128),(232027657,0.4215),(235812970,0.5130),(232029268,0.4760),(231043497,0.4207),(231040711,0.5086),(231040904,0.4697),(400001026,0.5266),(232027846,0.5077),(231040988,0.5743),(231039982,0.5775),(232028452,0.4168),(233087401,0.4331),(231041525,0.5766),(231041884,0.4038),(232027789,0.5398),(231044454,0.5357),(232028283,0.3927),(231043680,0.4769)];[(232030841,0.5853),(231042988,0.5503),(231041441,0.5823),(232028284,0.5094),(231040345,0.5059)]
2;9;HIGHEST_CONVERSION_PROB;[(232030817,0.5625),(232031646,0.5178),(232028046,0.4356),(231042084,0.5133),(261001889,0.5104),(232029344,0.4510),(231042850,0.4527),(231044878,0.5447),(232029563,0.5083),(232027768,0.5645),(231043345,0.5516),(232031539,0.4262),(232030179,0.5720),(231041987,0.5397),(400005165,0.4671),(232027865,0.5219),(231044725,0.5798),(400005764,0.4955),(232029588,0.4150),(232032224,0.4711),(232031406,0.5851),(231039736,0.5711),(231040733,0.5621),(232027809,0.3948),(232028950,0.5268),(400003916,0.4729),(232027723,0.3986),(231044226,0.5326),(232030425,0.4528),(232031131,0.4763),(232032568,0.4005),(231039881,0.4850),(231040128,0.4776),(232029289,0.4060),(232029244,0.4666),(231043353,0.4899),(232028224,0.5176),(232028752,0.4506),(400003952,0.4912),(231039863,0.5222),(231044353,0.5403),(245018234,0.4867),(232028289,0.3950),(231041212,0.5443),(231045293,0.4607),(231041904,0.5062),(232031467,0.5031),(231043622,0.4345),(231041439,0.5004),(231041502,0.4481)];[(232030817,0.5625),(232031646,0.5178),(232028046,0.4356),(231042084,0.5133),(261001889,0.5104)]
3;0;HIGHEST_CONVERSION_PROB;[(232027836,0.3980),(232028106,0.4870),(232028784,0.4640),(232030551,0.4250),(232027751,0.4451),(232028019,0.4073),(232027664,0.4942),(231042957,0.5009),(232032553,0.5464),(286019645,0.4166),(231041760,0.4621),(232031690,0.4764),(231043546,0.5405),(232028200,0.5663),(231044554,0.4413),(232027718,0.4942),(232028596,0.4206),(232030943,0.5279),(231039831,0.4341),(232029902,0.4661),(231039783,0.4966),(232029957,0.5393),(231039804,0.5591),(231043908,0.5859),(232031283,0.5736),(232028022,0.5085),(231039891,0.4174),(231041669,0.5104),(232030049,0.4326),(232030217,0.4973),(231043022,0.5235),(231039681,0.4180),(248019669,0.4685),(232028098,0.4664),(232028508,0.5054),(232030110,0.4648),(231042341,0.4975),(231045375,0.5748),(232031875,0.5463),(231040049,0.4475),(232028349,0.5311),(231042687,0.3991),(231040347,0.5062),(231041340,0.4102),(231040987,0.5459),(231040551,0.5720),(231041886,0.4720),(231045778,0.5060),(231043995,0.4434),(231042113,0.5014)];[(232027836,0.3980),(232028106,0.4870),(232028784,0.4640),(232030551,0.4250),(232027751,0.4451)]
3;1;HIGHEST_CONVERSION_PROB;[(232031311,0.4036),(232031333,0.5421),(231044379,0.4298),(232028254,0.5869),(231040512,0.4230),(231040407,0.4745),(231040392,0.5615),(232030541,0.5674),(231044693,0.5230),(232029610,0.5809),(231043261,0.5659),(231043933,0.5173),(231040071,0.5847),(231040118,0.4323),(231043744,0.4005),(231040917,0.5048),(232032313,0.4799),(232031287,0.4636),(231042562,0.5682),(232029012,0.4565),(232030253,0.4780),(235814846,0.5680),(231040259,0.5195),(232031863,0.4489),(231042883,0.4223),(231041533,0.4946),(232031940,0.4862),(242002966,0.4820),(232032283,0.5258),(231039707,0.5195),(232030254,0.4679),(231044394,0.4937),(231045852,0.4108),(207009215,0.4746),(231045896,0.4331),(232030601,0.4731),(232031837,0.4560),(232031539,0.5285),(231040429,0.5536),(231043503,0.5139),(231045572,0.4615),(400001048,0.3974),(232028885,0.5260),(231041343,0.4881),(231045389,0.4811),(231040932,0.4339),(231040905,0.5132),(231040960,0.5387),(231041163,0.5334),(231044942,0.5393)];[(232031311,0.4036),(232031333,0.5421),(231044379,0.4298),(232028254,0.5869),(231040512,0.4230)]
3;2;HIGHEST_CONVERSION_PROB;[(232031319,0.3937),(232028875,0.5608),(232030616,0.5284),(231040226,0.4847),(232029624,0.5761),(232032679,0.5087),(232027725,0.4342),(231042824,0.5191),(232027863,0.5195),(232031016,0.5243),(232029200,0.4358),(231045741,0.5427),(232028712,0.5549),(232030425,0.5009),(232028838,0.4031),(231040177,0.4936),(232028302,0.4328),(232027901,0.4912),(231040696,0.5511),(232032190,0.5855),(231045784,0.4231),(231043186,0.5831),(286018636,0.4048),(232028296,0.4065),(232031915,0.4550),(231040090,0.4957),(231039897,0.5726),(242108534,0.3986),(232030586,0.5291),(244075791,0.4014),(261001886,0.3981),(231041784,0.4650),(231039695,0.4628),(232028625,0.5675),(231040942,0.4050),(231043231,0.3934),(232029840,0.5313),(232031343,0.4088),(232032321,0.4494),(232027883,0.5414),(232028377,0.3962),(231040642,0.4598),(232030937,0.4485),(232028508,0.4030),(232028989,0.4472),(231043750,0.4606),(231040084,0.4768),(231044079,0.5120),(232027860,0.4857),(231040521,0.5518)];[(232031319,0.3937),(232028875,0.5608),(232030616,0.5284),(231040226,0.4847),(232029624,0.5761)]
3;3;HIGHEST_CONVERSION_PROB;[(232028440,0.5470),(400008872,0.5461),(232028543,0.4478),(232029596,0.5811),(400008736,0.5650),(286018636,0.4458),(232030120,0.3966),(231041422,0.4008),(232029717,0.4439),(231044249,0.4305),(232032205,0.4333),(232032494,0.5595),(232027747,0.4977),(231040423,0.4183),(231041232,0.4347),(231041701,0.4154),(231039979,0.4458),(232028201,0.4158),(231042541,0.5360),(232028724,0.5108),(231041218,0.4026),(231040496,0.4413),(231041871,0.4986),(231043465,0.4711),(231040591,0.4606),(232032314,0.5572),(239014743,0.5573),(232028717,0.4054),(231040801,0.5530),(232029873,0.5786),(232030570,0.4929),(232029299,0.4937),(232032505,0.4292),(232028682,0.4707),(261002053,0.4474),(232030988,0.4961),(231039708,0.5019),(232029122,0.3954),(231040360,0.4274),(232029520,0.4896),(232031063,0.5297),(231040580,0.4018),(232029436,0.4233),(231045500,0.4355),(231044160,0.4573),(231044290,0.4696),(231040073,0.4521),(231041253,0.4661),(231040469,0.4010),(231040823,0.5224)];[(232028440,0.5470),(400008872,0.5461),(232028543,0.4478),(232029596,0.5811),(400008736,0.5650)]
3;4;HIGHEST_CONVERSION_PROB;[(232031131,0.5844),(232030795,0.5369),(231039645,0.5523),(232028638,0.5530),(231040718,0.4485),(231041232,0.5178),(232031156,0.5315),(231044770,0.4449),(231042247,0.5375),(232032516,0.4583),(232029199,0.5567),(232030779,0.4896),(231040884,0.5020),(231041991,0.3919),(231044867,0.4509),(232032184,0.5853),(232029556,0.4572),(231044106,0.5318),(231042360,0.4537),(231040120,0.4850),(232030076,0.3976),(286016913,0.4118),(232028242,0.4057),(232027809,0.5845),(232028824,0.4394),(232029405,0.4010),(232029906,0.5057),(232027482,0.4746),(231040696,0.4277),(232031819,0.4320),(231042147,0.4259),(231041811,0.5584),(248018982,0.5391),(231044532,0.4550),(242002737,0.4890),(231042298,0.4180),(232030055,0.4618),(231040551,0.4586),(232028543,0.4203),(231041569,0.5392),(232031691,0.5794),(231040276,0.5562),(231041908,0.4095),(231040263,0.5186),(231042519,0.4817),(231042199,0.5491),(231040731,0.4776),(231040223,0.5467),(232027523,0.4785),(231042182,0.5506)];[(232031131,0.5844),(232030795,0.5369),(231039645,0.5523),(232028638,0.5530),(231040718,0.4485)]
