step;CLsAvg;CLsStd;CLsMin;CLsMax;CLsByMagAvg;CLsByMagStd;CLsByMagMin;CLsByMagMax;FLsAvg;FLsStd;FLsMin;FLsMax;PayAvg;PayStd;PayMin;PayMax;PeopleWorkExtraAvg;PeopleWorkExtraStd;PeopleWorkExtraMin;PeopleWorkExtraMax;PeopleWithBonusAvg;PeopleWithBonusStd;PeopleWithBonusMin;PeopleWithBonusMax;ExpectedCLsAvg;ExpectedCLsStd;ExpectedCLsMin;ExpectedCLsMax;ExpectedFLsAvg;ExpectedFLsStd;ExpectedFLsMin;ExpectedFLsMax;
38;15261.5332;93.0505;15044.0000;15450.0000;1200.6248;23.9160;1154.4049;1251.8492;7398.2334;76.5717;7278.0000;7599.0000;6.2023;0.6076;4.5498;7.2460;111.4667;4.1334;103.0000;120.0000;0.0000;0.0000;0.0000;0.0000;14917.0996;74.2528;14791.0000;15082.0000;7742.6665;68.5869;7520.0000;7856.0000;
39;15653.2334;95.5116;15438.0000;15837.0000;1230.6980;24.1832;1190.6895;1279.9695;7590.4331;76.0860;7478.0000;7778.0000;6.0147;0.6635;4.7634;7.2570;111.0333;3.7461;105.0000;118.0000;0.0000;0.0000;0.0000;0.0000;15298.5664;75.5283;15166.0000;15462.0000;7945.1001;70.1576;7709.0000;8072.0000;
40;16048.2666;99.3225;15847.0000;16260.0000;1261.8638;23.9384;1219.1227;1311.4670;7780.2998;78.2102;7652.0000;7961.0000;6.2332;0.6229;5.1287;7.7721;111.8667;3.9456;103.0000;119.0000;0.0000;0.0000;0.0000;0.0000;15681.1670;82.2515;15533.0000;15859.0000;8147.3999;74.0343;7909.0000;8289.0000;
41;16438.6328;96.6874;16251.0000;16629.0000;1293.0406;23.8108;1249.6123;1339.1228;7970.5000;80.4113;7827.0000;8151.0000;6.2354;0.6081;4.6027;7.5319;111.4667;4.7975;101.0000;121.0000;0.0000;0.0000;0.0000;0.0000;16063.7334;81.2446;15905.0000;16246.0000;8345.4004;76.4554;8115.0000;8480.0000;
42;16832.1328;97.6866;16635.0000;17042.0000;1323.3268;24.0951;1277.3278;1364.8737;8161.2334;80.1286;8004.0000;8347.0000;6.0572;0.5468;5.1502;7.3524;111.9333;4.4562;102.0000;121.0000;0.0000;0.0000;0.0000;0.0000;16445.0000;86.6384;16286.0000;16652.0000;8548.3662;78.8663;8305.0000;8678.0000;
43;17219.4336;101.6460;17004.0000;17435.0000;1353.0378;24.5718;1313.3373;1394.0354;8354.7998;76.2950;8206.0000;8537.0000;5.9422;0.5919;4.9805;7.2019;110.4000;5.0213;102.0000;121.0000;0.0000;0.0000;0.0000;0.0000;16824.0000;90.2258;16668.0000;17033.0000;8750.2334;80.8616;8499.0000;8882.0000;
44;17614.2676;102.2960;17399.0000;17812.0000;1383.3215;25.0190;1340.3298;1425.1262;8544.0664;76.5655;8406.0000;8724.0000;6.0567;0.5671;5.2005;7.5209;109.6333;5.1023;97.0000;123.0000;0.0000;0.0000;0.0000;0.0000;17203.9004;93.7544;17041.0000;17410.0000;8954.4336;85.6040;8699.0000;9098.0000;
45;18006.1992;104.0051;17790.0000;18200.0000;1414.6284;25.5688;1368.8831;1459.9194;8736.4004;74.8767;8609.0000;8912.0000;6.2614;0.5025;5.5444;7.3908;110.5000;4.5769;104.0000;120.0000;0.0000;0.0000;0.0000;0.0000;17587.8340;99.1645;17399.0000;17828.0000;9154.7666;85.4496;8891.0000;9296.0000;
46;18401.1660;104.3483;18161.0000;18596.0000;1445.8269;25.0805;1405.7819;1492.6123;8926.9336;77.0978;8797.0000;9099.0000;6.2397;0.6200;4.9638;7.5886;111.4333;4.9736;102.0000;121.0000;0.0000;0.0000;0.0000;0.0000;17973.7676;102.0675;17800.0000;18232.0000;9354.3330;89.3507;9075.0000;9505.0000;
47;18795.9004;106.0905;18552.0000;18995.0000;1476.7941;24.5668;1437.6250;1523.9683;9116.6670;78.5613;8988.0000;9293.0000;6.1934;0.6051;5.1295;7.3959;112.6333;3.8100;105.0000;121.0000;0.0000;0.0000;0.0000;0.0000;18357.9004;98.5734;18172.0000;18598.0000;9554.6670;89.1409;9288.0000;9708.0000;
