LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232031085;0.17562724014336917;Systems & Services;49;68;68;-1;68;49;49;-1;0.0;0
232031090;0.009602150537634408;Products;49;50;-1;50;-1;49;49;-1;0.4;1
232031095;0.011448136200716845;Products;49;51;-1;51;-1;49;49;-1;0.4;1
232031096;0.002122652329749104;Products;49;49;-1;49;-1;49;49;-1;0.4;1
232031097;0.46236559139784944;Products;49;63;-1;63;49;49;49;-1;0.4;1
232031099;0.013458781362007169;Products;49;51;-1;51;-1;-1;50;50;0.8;1
232031100;0.013777670250896058;Products;49;70;-1;70;-1;49;49;-1;0.4;1
232031101;0.05299383512544803;Products;49;54;-1;54;-1;49;49;54;0.8;1
232031103;0.03225806451612903;Products;49;69;-1;69;49;49;-1;-1;0.2;1
232031104;0.004428745519713262;Products;49;49;-1;49;-1;49;49;-1;0.4;1
232031105;0.028272401433691755;Products;49;60;-1;60;-1;-1;60;60;0.8;1
232031106;0.014336917562724014;Products;49;53;-1;53;-1;49;49;-1;0.4;1
232031108;0.1039426523297491;Products;49;58;-1;58;-1;49;49;57;0.8;1
232031109;0.0020705376344086024;Products;49;50;-1;50;-1;49;49;-1;0.4;1
232031110;0.003233799283154122;Products;49;52;-1;52;-1;49;49;-1;0.4;1
232031113;0.03942652329749104;Products;49;59;59;-1;59;-1;59;-1;0.4;0
232031114;0.7132616487455197;Products;49;60;60;-1;-1;-1;-1;-1;0.0;0
232031117;0.03225806451612903;Products;49;65;65;-1;65;-1;65;-1;0.4;0
232031118;0.005172043010752688;Products;49;50;-1;50;-1;49;49;-1;0.4;1
232031122;0.014336917562724014;Products;49;60;-1;60;-1;49;49;-1;0.4;1
232031128;0.06810035842293907;Products;49;66;66;-1;49;49;-1;-1;0.2;0
232031130;0.005376344086021506;Products;49;57;-1;57;-1;49;49;-1;0.4;1
232031131;0.0009737275985663085;Products;49;50;-1;50;-1;-1;50;-1;0.4;1
232031138;0.025089605734767026;Products;49;50;-1;50;-1;49;49;-1;0.4;1
232031142;0.013216164874551973;Products;49;50;-1;50;-1;-1;49;49;0.8;1
232031147;0.001728637992831541;Products;49;57;57;-1;57;-1;57;-1;0.4;0
232031149;0.09582795698924731;Systems & Services;49;51;-1;51;49;-1;49;49;0.8;1
232031156;0.035842293906810034;Products;49;50;-1;50;-1;-1;-1;50;0.8;1
232031157;0.056630824372759854;Products;49;50;-1;50;-1;-1;-1;50;0.8;1
232031158;0.02724014336917563;Products;49;50;-1;50;-1;-1;-1;50;0.8;1
232031159;0.023655913978494623;Products;49;50;-1;50;-1;-1;-1;50;0.8;1
232031160;0.15949820788530467;Products;49;50;-1;50;-1;-1;-1;50;0.8;1
232031161;0.04838709677419355;Products;49;50;-1;50;-1;-1;-1;50;0.8;1
232031163;0.0;Products;50;50;50;-1;50;-1;50;-1;0.4;0
232031164;0.0649662724014337;Products;50;63;63;-1;63;50;50;-1;0.0;0
232031165;0.0;Products;50;50;50;-1;50;-1;50;-1;0.4;0
232031170;0.005345985663082438;Products;50;66;-1;66;50;-1;50;-1;0.4;1
232031195;0.00907168458781362;Products;50;61;-1;61;-1;50;50;-1;0.4;1
