LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80
232031483;75000;Products;54;65;65;-1;-1;-1;-1;-1
232031501;8124,04;Products;55;65;65;-1;65;-1;65;-1
232031537;1;Products;55;65;-1;65;65;-1;-1;-1
232031656;48112;Products;56;65;65;-1;65;56;56;-1
232031669;12000;Systems & Services;56;65;-1;65;-1;56;-1;56
232031697;1481,1;Products;57;65;-1;65;-1;57;57;-1
232031787;1653,16;Products;58;65;-1;65;-1;-1;65;-1
232031859;20000;Products;58;65;65;-1;-1;-1;-1;-1
232031863;3401;Products;58;65;-1;65;-1;58;58;-1
232031901;32056;Products;59;65;-1;65;59;-1;59;-1
232032002;1152,51;Products;60;65;-1;65;-1;-1;65;-1
232032044;70000;Products;60;65;-1;65;-1;60;60;-1
232032118;14500;Products;61;65;-1;65;61;61;-1;64
232032124;10000;Products;61;65;-1;65;65;-1;65;-1
232032142;2547;Systems & Services;61;65;-1;65;-1;61;62;61
232032184;16912,5;Products;61;65;-1;65;-1;61;61;-1
232032189;65000;Systems & Services;61;65;-1;65;-1;-1;61;61
232032218;4081,53;Products;62;65;-1;65;-1;62;62;-1
232032400;7170;Products;64;65;-1;65;-1;-1;64;64
232032434;3185;Products;64;65;-1;65;-1;64;64;-1
232032447;1;Products;64;65;65;-1;65;64;64;-1
232032477;5000;Systems & Services;64;65;-1;65;-1;64;-1;64
232032479;2000;Systems & Services;64;65;-1;65;-1;64;-1;64
232032494;2500;Products;65;65;-1;65;-1;-1;-1;65
232032497;1;Products;65;65;65;-1;65;65;-1;-1
232032501;6553;Products;65;65;-1;65;-1;-1;65;65
232032502;1;Products;65;65;65;-1;65;-1;65;-1
232032505;1;Products;65;65;65;-1;65;-1;65;-1
232032531;1600,23;Products;65;65;-1;65;-1;-1;65;-1
232032537;1183,55;Products;65;65;-1;65;-1;-1;65;65
232032539;3028,14;Products;65;65;-1;65;-1;-1;-1;65
232032578;1;Products;65;65;65;-1;-1;-1;-1;-1
235814707;6599,09;Products;61;65;-1;65;-1;61;61;-1
235814955;2831,7;Products;65;65;-1;65;65;-1;65;-1
239015333;5255,85;Products;16;65;-1;65;-1;16;16;62
242108910;1673,74;Products;44;65;-1;65;-1;-1;65;-1
242109583;7073,1;Products;60;65;-1;65;60;-1;60;-1
244075690;7083,02;Products;64;65;-1;65;-1;-1;64;64
244075791;2278,71;Products;64;65;-1;65;-1;-1;64;64
248019583;1607,6;Products;65;65;-1;65;-1;-1;65;65
281000665;2160,76;Products;21;65;-1;65;21;25;21;-1
