LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232028901;3820;Products;20;23;-1;23;-1;-1;23;-1;0.4;1
232028904;1;Products;20;38;38;-1;20;20;-1;-1;0.2;0
232028905;1644;Products;20;20;-1;20;-1;-1;20;-1;0.4;1
232028907;12000;Products;20;62;-1;62;-1;24;24;-1;0.4;1
232028908;1492;Products;20;28;-1;28;-1;-1;28;-1;0.4;1
232028909;7416.54;Products;20;22;-1;22;-1;20;20;-1;0.4;1
232028910;10000;Products;20;40;40;-1;40;-1;40;-1;0.4;0
232028911;1379;Products;20;52;-1;52;-1;-1;52;-1;0.4;1
232028912;12163;Products;20;63;63;-1;63;-1;63;-1;0.4;0
232028913;15000;Products;20;20;20;-1;20;-1;20;-1;0.4;0
232028914;1;Products;20;20;20;-1;20;20;-1;-1;0.2;0
232028915;12711;Products;20;49;49;-1;49;20;20;-1;0;0
232028916;10000;Systems & Services;20;42;42;-1;42;42;-1;-1;0.2;0
232028917;50000;Products;20;20;20;-1;20;-1;20;-1;0.4;0
232028918;20000;Systems & Services;20;36;36;-1;36;20;20;-1;0;0
232028919;2445.31;Products;20;20;-1;20;-1;-1;20;20;0.8;1
232028920;6400;Products;20;26;-1;26;-1;20;20;23;0.8;1
232028921;20000;Products;20;58;-1;58;-1;58;-1;-1;0.2;1
232028922;2391.64;Products;20;52;52;-1;52;-1;52;-1;0.4;0
232028923;14000;Products;20;58;58;-1;58;58;-1;-1;0.2;0
232028931;1;Products;20;20;20;-1;20;20;-1;-1;0.2;0
232028932;32751.38;Systems & Services;20;37;-1;37;20;-1;20;23;0.8;1
232028933;50000;Products;20;42;42;-1;42;20;20;-1;0;0
232028934;40000;Products;20;51;51;-1;51;20;20;-1;0;0
232028935;4000;Products;20;66;66;-1;66;20;20;-1;0;0
232028937;21084.76;Products;20;59;-1;59;-1;-1;59;-1;0.4;1
232028941;10000;Products;20;20;20;-1;20;20;-1;-1;0.2;0
232028942;1872.98;Products;20;36;-1;36;-1;-1;20;20;0.8;1
232028944;10000;Products;20;24;-1;24;24;-1;-1;-1;0;1
232028945;5720.05;Products;20;23;23;-1;23;20;20;-1;0;0
232028947;10962;Products;20;39;-1;39;20;-1;20;-1;0.4;1
232028950;10000;Systems & Services;20;52;52;-1;52;52;-1;-1;0.2;0
232028953;10000;Products;20;36;36;-1;25;25;25;-1;0.4;0
232028955;5154.58;Products;20;64;-1;64;-1;-1;64;-1;0.4;1
232028957;3344.38;Products;20;34;34;-1;34;-1;34;-1;0.4;0
232028960;5752;Products;20;21;-1;21;-1;20;20;-1;0.4;1
232028961;1140;Products;20;22;22;-1;22;-1;22;-1;0.4;0
232028962;1474;Products;20;29;-1;29;-1;-1;29;-1;0.4;1
232028963;1969.41;Products;20;37;-1;37;-1;20;20;32;0.8;1
232028964;7367;Products;20;50;-1;50;-1;20;20;32;0.8;1
